"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q5,Q2,Q3,Q1,Q6,Q4";"TCMT1600T3";6;"QTCMT1600T3";;;
2;"CN7,CN3,CN4";"TBP04R1-500-04BE";3;"KPTBP04R1-500-04BE";;;
3;"J2,J1,J3";"2x1HDR2.54mm";3;"KH22-28-5021";;;
4;"TP13,TP4,TP23,TP19,TP20,TP7,TP3,TP21,TP10,TP18,TP12,TP1,TP6,TP24,TP15,TP5,TP22,TP14,TP2,TP16,TP25,TP17,TP11";"5010";23;"TP5010";;;
5;"D3";"SMA";1;"DSSS26SHE3_B_H";;;
6;"IC2";"TSOT-26-6";1;"PMAP63205WU-7";;;
7;"L2,L1";"IND-1005";2;"LSRP2512-2R2M";;;
8;"R28";"RES-0603";1;"RC060350K075AAA";;;
9;"C23,C12,C5,C20,C25,C11,C24,C6,C28,C15,C18";"CAP-0603";11;"CC0603104050AAAX7R";;;
10;"LGO1";"Logo10x40mm";1;"~";;;
11;"C22";"A768MS157M1HLAE024";1;"CEA771MS107M1JLAS018";;;
12;"C13,C21,C29,C14,C19";"CAP-0603";5;"CC0603226010AABX5R";;;
13;"D9";"LED-0805";1;"DLLS R976-NR-1";;;
14;"D1,D2";"LED-0805";2;"DLQ62702P5179";;;
15;"CN5";"GCT_USB4105-GF-A";1;"KUSB4105-GF-A";;;
16;"R31,R22";"RES-0603";2;"RC06031K0075AAA";;;
17;"C26";"CAP-0603";1;"CC0603103050AAAX7R";;;
18;"C4,C3,C2,C1";"CAP-1206";4;"CC1206106050AAAX7R";;;
19;"MH2,MH4,MH1,MH3";"M3MountingHole";4;"~";;;
20;"R29";"RES-0603";1;"RC060330K075AAA";;;
21;"C8,C7,C9,C10";"CAP-1210";4;"CC1210226025AAAX7R";;;
22;"IC5";"QFN-28";1;"UCP2102C-A01-GQFN28";;;
23;"S2,S1";"435151014845";2;"SW435151014845";;;
24;"CN2";"TBP04R1-500-03BE";1;"KPTBP04R1-500-03BE";;;
25;"R32,R1";"RES-0603";2;"RC0603330075AAA";;;
26;"IC3";"ESP32WROOM32UE";1;"ESP32-WROOM-32UE-N16";;;
27;"CN6";"S4B-PH-SM4-TB";1;"KHS4B-PH-SM4-TB(LF)(SN)";;;
28;"C27";"CAP-0603";1;"CC0603474050AAAX7R";;;
29;"R3";"RES-0603";1;"RC0603682075AAA";;;
30;"IC7";"SOT-23-5";1;"UTMP36GRTZ-REEL7";;;
31;"IC1";"TSOT-26-6";1;"PMAP63203WU-7";;;
32;"IC6";"HTSSOP-28";1;"UDRV8825PWPR";;;
33;"R2";"RES-0603";1;"RC0603510075AAA";;;
34;"D7,D4,D6,D8,D5";"SOT-23-3";5;"TVSCDSOT23-SM712";;;
35;"R25";"RES-0603";1;"RC06031M0075AAA";;;
36;"J4";"6x1HDR2.54mm";1;"KH68001-406HLF";;;
37;"CN1";"TBP04R1-500-02BE";1;"KPTBP04R1-500-02BE";;;
38;"R4,R20,R30,R24,R21,R23";"RES-0603";6;"RC060310K2075AAA";;;
39;"R19";"RES-0603";1;"RC060347K5075AAA";;;
40;"R7,R12,R8,R6,R13,R14";"RES-1210";6;"RC12101K2200AAC";;;
41;"IC4";"SOIC-8";1;"USP3485CN-L/TR";;;
42;"R18";"RES-0603";1;"RC060322K1075AAA";;;
43;"C16,C17";"CAP-0805";2;"CC0805226025AABX5R";;;
44;"R5";"RES-0805";1;"RC0805121150AAB";;;
45;"R11,R15,R17,R9,R10,R16";"RES-0603";6;"RC06010K2075AAA";;;
46;"Q7";"SC-70-6";1;"QBC847BDW1T1G";;;
47;"R27,R26";"RES-0805";2;"RC08050R2075AAE";;;
