Ref,Val,Package,PosX,PosY,Rot,Side
"C15","CC0603104050AAAX7R","CAP-0603",101.500000,22.250000,0.000000,bottom
"C16","CC0805226025AABX5R","CAP-0805",101.500000,24.000000,0.000000,bottom
"C17","CC0805226025AABX5R","CAP-0805",101.500000,26.000000,0.000000,bottom
"C18","CC0603104050AAAX7R","CAP-0603",105.500000,20.000000,90.000000,bottom
"C19","CC0603226010AABX5R","CAP-0603",104.000000,20.000000,90.000000,bottom
"D4","TVSCDSOT23-SM712","SOT-23-3",115.000000,30.000000,0.000000,bottom
"D5","TVSCDSOT23-SM712","SOT-23-3",108.500000,11.000000,-90.000000,bottom
"D6","TVSCDSOT23-SM712","SOT-23-3",117.000000,16.000000,-90.000000,bottom
"D8","TVSCDSOT23-SM712","SOT-23-3",47.000000,21.000000,0.000000,bottom
"FID4","~","FID1.0x1.5mm Round",12.000000,2.500000,180.000000,bottom
"FID5","~","FID1.0x1.5mm Round",108.000000,3.000000,180.000000,bottom
"FID6","~","FID1.0x1.5mm Round",12.000000,81.000000,180.000000,bottom
"IC4","USP3485CN-L/TR","SOIC-8",98.000000,30.000000,0.000000,bottom
"Q7","QBC847BDW1T1G","SC-70-6",77.500000,21.000000,-90.000000,bottom
"R4","RC060310K2075AAA","RES-0603",57.000000,11.000000,0.000000,bottom
"R5","RC0805121150AAB","RES-0805",114.000000,36.000000,90.000000,bottom
"R6","RC12101K2200AAC","RES-1210",5.000000,48.500000,180.000000,bottom
"R7","RC12101K2200AAC","RES-1210",5.000000,43.500000,180.000000,bottom
"R8","RC12101K2200AAC","RES-1210",5.000000,38.500000,180.000000,bottom
"R9","RC06010K2075AAA","RES-0603",21.000000,48.500000,180.000000,bottom
"R10","RC06010K2075AAA","RES-0603",21.000000,43.000000,180.000000,bottom
"R11","RC06010K2075AAA","RES-0603",21.000000,38.000000,180.000000,bottom
"R12","RC12101K2200AAC","RES-1210",5.000000,28.000000,180.000000,bottom
"R13","RC12101K2200AAC","RES-1210",5.000000,23.000000,180.000000,bottom
"R14","RC12101K2200AAC","RES-1210",5.000000,18.000000,180.000000,bottom
"R15","RC06010K2075AAA","RES-0603",21.000000,27.500000,180.000000,bottom
"R16","RC06010K2075AAA","RES-0603",21.000000,22.000000,180.000000,bottom
"R17","RC06010K2075AAA","RES-0603",21.000000,16.000000,180.000000,bottom
"R18","RC060322K1075AAA","RES-0603",109.500000,18.000000,180.000000,bottom
"R19","RC060347K5075AAA","RES-0603",102.500000,20.000000,90.000000,bottom
