"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Manufacturer 1","Manufacturer 1 P/N","Vendor 1a","Vendor 1a ","Vendor 1a Cost HV","Vendor 1a Cost LV","Vendor 1a P/N","Vendor 1b","Vendor 1b Cost HV","Vendor 1b Cost LV","Vendor 1b P/N"
"C1,C2,C3,C4","4","CC1206106050AAAX7R","","","","Samsung","CL31B106KBHNNNE","Mouser","","0.068","0.22","187-CL31B106KBHNNNE","","","",""
"C5,C6,C11,C12,C15,C18,C20,C23,C24,C25,C28","11","CC0603104050AAAX7R","","","","Yageo","CC0603KRX7R9BB104","Mouser","","0.012","0.10","603-CC603KRX7R9BB104","","","",""
"C7,C8,C9,C10","4","CC1210226025AAAX7R","","","","Taiyo Yuden","TMK325B7226KM-PR","Mouser","","0.187","0.60","963-TMK325B7226KM-PR","","","",""
"C13,C14,C19,C21,C29","5","CC0603226010AABX5R","","","","Murata","GRM188R61A226ME15D","Mouser","","0.023","0.10","81-GRM188R61A226ME5D","","","",""
"C16,C17","2","CC0805226025AABX5R","","","","Samsung","CL21A226MAYNNNE","Mouser","","0.043","0.10","187-CL21A226MAYNNNE ","","","",""
"C22","1","CEA771MS107M1JLAS018","","","","KEMET","A771MS107M1JLAS018","Mouser","","0.472","1.49","80-A771MS107M1JLAS18","","","",""
"C26","1","CC0603103050AAAX7R","","","","Murata","GCM188R71H103KA37J","Mouser","","0.019","0.10","81-GCM188R71H103KA7J","","","",""
"C27","1","CC0603474050AAAX7R","","","","TAIYO YUDEN","UMK107B7474KA-TR","Mouser","","0.035","0.15","963-UMK107B7474KA-TR","","","",""
"CN1","1","KPTBP04R1-500-02BE","","","","Same Sky","TBP04R1-500-02BE","Mouser","","0.128","0.33","179-TBP04R1-500-02BE","","","",""
"CN2","1","KPTBP04R1-500-03BE","","","","Same Sky","TBP04R1-500-03BE","Mouser","","0.189","0.48","179-TBP04R1-500-03BE","","","",""
"CN3,CN4,CN7","3","KPTBP04R1-500-04BE","","","","Same Sky","TBP04R1-500-04BE","Mouser","","0.246","0.62","179-TBP04R1-500-04BE","","","",""
"CN5","1","KUSB4105-GF-A","","","","GCT","USB4105-GF-A","Mouser","","0.484","0.78","640-USB4105-GF-A","","","",""
"CN6","1","KHS4B-PH-SM4-TB(LF)(SN)","","","","JST","S4B-PH-SM4-TB(LF)(SN)","Mouser","","0.369","0.79","306-S4BPHSM4TBLFSN","","","",""
"D1,D2","2","DLQ62702P5179","","","","OSRAM","Q62702P5179","Mouser","","0.049","0.27","720-Q62702P5179","","","",""
"D3","1","DSSS26SHE3_B_H","","","","Vishay","SS26SHE3_B/H","Mouser","","0.076","0.36","78-SS26SHE3_B/H","","","",""
"D4,D5,D6,D7,D8","5","TVSCDSOT23-SM712","","","","Bourns","CDSOT23-SM712","Mouser","","0.343","1.11","652-CDSOT23-SM712","","","",""
"D9","1","DLLS R976-NR-1","","","","OSRAM","LS R976-NR-1","Mouser","","0.045","0.15","720-LSR976-NR-1","","","",""
"FID1,FID2,FID3,FID4,FID5,FID6","6","~","","Excluded from BOM","","","","","","","","","","","",""
"IC1","1","PMAP63203WU-7","","","","Diodes Incorporated","AP63203WU-7","Mouser","","0.342","0.71","621-AP63203WU-7","","","",""
"IC2","1","PMAP63205WU-7","","","","Diodes Incorporated","AP63205WU-7","Mouser","","0.342","0.71","621-AP63205WU-7","","","",""
"IC3","1","ESP32-WROOM-32UE-N16","","","","Espressif","ESP32-WROOM-32UE-N16","Mouser","","3.98","6.71","356-ESP32WRM32UE28UH","","","",""
"IC4","1","USP3485CN-L/TR","","","","MaxLinear","SP3485CN-L/TR","Mouser","","0.38","0.81","701-SP3485CN-L/TR","DigiKey","0.39507","0.81","1016-1816-1-ND"
"IC5","1","UCP2102C-A01-GQFN28","","","","Silicon Labs","CP2102C-A01-GQFN28","Mouser","","1.31","3.55","634-P2102CA01GQFN28","","","",""
"IC6","1","UDRV8825PWPR","","","","Texas Instruments","DRV8825PWPR","Mouser","","2.40","4.03","595-DRV8825PWPR","","","",""
"IC7","1","UTMP36GRTZ-REEL7","","","","Analog Devices","TMP36GRTZ-REEL7","Mouser","","1.22","1.89","584-TMP36GRTZ-R7","","","",""
"J1,J2,J3","3","KH22-28-5021","","","","Molex","22-28-5021","Mouser","","0.071","0.10","538-22-28-5021","","","",""
"J4","1","KH68001-406HLF","","","","Amphenol","68001-406HLF","Mouser","","0.163","0.17","649-68001-406HLF","","","",""
"L1,L2","2","LSRP2512-2R2M","","","","Bourns","SRP2512-2R2M","Mouser","","0.199","0.33","652-SRP2512-2R2M","","","",""
"LGO1","1","~","","","","","","","","","","","","","",""
"MH1,MH2,MH3,MH4","4","~","","","","","","","","","","","","","",""
"Q1,Q2,Q3,Q4,Q5,Q6","6","QTCMT1600T3","","","","Vishay Semiconductors","TCMT1600T3","Mouser","","0.303","0.76","78-TCMT1600T3","","","",""
"Q7","1","QBC847BDW1T1G","","","","onsemi","BC847BDW1T1G","Mouser","","0.42","0.14","863-BC847BDW1T1G","","","",""
"R1,R32","2","RC0603330075AAA","","","","Yageo","RT0603FRE13330RL","Mouser","","0.015","0.19","603-RT0603FRE13330RL","","","",""
"R2","1","RC0603510075AAA","","","","Yageo","SR0603FR-7W510RL","Mouser","","0.021","0.10","603-SR0603FR-7W510RL","","","",""
"R3","1","RC0603682075AAA","","","","Panasonic","ERA-3AEB682V","Mouser","","0.043","0.10","667-ERA-3AEB682V","","","",""
"R4,R20,R21,R23,R24,R30","6","RC060310K2075AAA","","","","Yageo","AC0603DRE0710KL","Mouser","","0.031","0.11","603-AC0603DRE0710KL","","","",""
"R5","1","RC0805121150AAB","","","","Panasonic","ERJ-6GEYJ121V","Mouser","","0.013","0.10","667-ERJ-6GEYJ121V","","","",""
"R6,R7,R8,R12,R13,R14","6","RC12101K2200AAC","","","","Yageo","AC1210JR-071K2L","Mouser","","0.041","0.12","603-AC1210JR-071K2L","","","",""
"R9,R10,R11,R15,R16,R17","6","RC06010K2075AAA","","","","Yageo","AC0603DRE0710KL","Mouser","","0.031","0.11","603-AC0603DRE0710KL","","","",""
"R18","1","RC060322K1075AAA","","","","Vishay","CRCW060322K1FKEBC","Mouser","","0.009","0.11","71-CRCW060322K1FKEBC","","","",""
"R19","1","RC060347K5075AAA","","","","Panasonic","ERA-3AEB4752V","Mouser","","0.042","0.10","667-ERA-3AEB4752V","","","",""
"R22,R31","2","RC06031K0075AAA","","","","Yageo","SR0603JR-071KL","Mouser","","0.031","0.11","603-SR0603JR-071KL","","","",""
"R25","1","RC06031M0075AAA","","","","Vishay","MCT0603MD1004BP500","Mouser","","0.139","0.24","594-MCT0603MD1004BP5","","","",""
"R26,R27","2","RC08050R2075AAE","","","","Vishay","RCWE0805R200FKEA","Mouser","","0.051","0.17","71-RCWE0805R200FKEA","","","",""
"R28","1","RC060350K075AAA","","","","Yageo","RT0603BRD0750KL","Mouser","","0.052","0.14","603-RT0603BRD0750KL","","","",""
